Features,value,Decision
X_IONRAD,-0.180294674315175,Accepted
X_IONRAD,-0.22009628331439718,Accepted
X_IONRAD,-0.17484345731914205,Accepted
X_IONRAD,-0.1463002733618245,Accepted
X_IONRAD,-0.19444332277077692,Accepted
X_IONRAD,-0.1869672674398087,Accepted
X_IONRAD,-0.17108103640727026,Accepted
X_IONRAD,-0.15214048993044738,Accepted
X_IONRAD,-0.18425540699223142,Accepted
X_IONRAD,-0.19242940095941719,Accepted
X_IONRAD,-0.18724614156133879,Accepted
X_IONRAD,-0.18762212567079017,Accepted
X_IONRAD,-0.13776729635478976,Accepted
X_IONRAD,-0.15866466759185938,Accepted
X_IONRAD,-0.20305989390085563,Accepted
X_IONRAD,-0.16805622137304244,Accepted
X_IONRAD,-0.22131410691493902,Accepted
X_IONRAD,-0.17371392614711512,Accepted
X_IONRAD,-0.2014741184729248,Accepted
X_IONRAD,-0.11458496404749302,Accepted
X_IONRAD,-0.18862268543207758,Accepted
X_IONRAD,-0.11399549161344069,Accepted
X_IONRAD,-0.1575437736265902,Accepted
X_IONRAD,-0.20400526928286047,Accepted
X_IONRAD,-0.1546430820784988,Accepted
X_IONRAD,-0.2281637205755622,Accepted
X_IONRAD,-0.14731161507328344,Accepted
X_IONRAD,-0.2280276269396974,Accepted
X_IONRAD,-0.21563130262473043,Accepted
X_IONRAD,-0.10711516065793665,Accepted
X_IONRAD,-0.08748149985952909,Accepted
X_IONRAD,-0.18635640670134798,Accepted
X_IONRAD,-0.17550989071095394,Accepted
X_IONRAD,-0.25439873191709894,Accepted
X_IONRAD,-0.24055441159427574,Accepted
X_IONRAD,-0.18879856383119817,Accepted
X_IONRAD,-0.16217281885357826,Accepted
X_IONRAD,-0.20069443465942002,Accepted
X_IONRAD,-0.2009023436098217,Accepted
X_IONRAD,-0.2205923509309868,Accepted
X_IONRAD,-0.1589995404167434,Accepted
X_IONRAD,-0.15176802491936875,Accepted
X_IONRAD,-0.20807707775822862,Accepted
X_IONRAD,-0.08248816649712344,Accepted
X_IONRAD,-0.16020001203624656,Accepted
X_IONRAD,-0.12054235903525096,Accepted
X_IONRAD,-0.14772693169352658,Accepted
X_IONRAD,-0.21162927025942657,Accepted
X_IONRAD,-0.1981553613720144,Accepted
X_IONRAD,-0.2043645127071649,Accepted
X_IONRAD,-0.2530664286467054,Accepted
X_IONRAD,-0.19985055522324108,Accepted
X_IONRAD,-0.160083876265988,Accepted
X_IONRAD,-0.1717930951086668,Accepted
X_IONRAD,-0.18524375180306504,Accepted
X_IONRAD,-0.17065621448650165,Accepted
X_IONRAD,-0.16756797946341281,Accepted
X_IONRAD,-0.18794192154054812,Accepted
X_IONRAD,-0.22143920327469593,Accepted
X_IONRAD,-0.19086567324123696,Accepted
X_IONRAD,-0.1246107682876103,Accepted
X_IONRAD,-0.1391592890413688,Accepted
X_IONRAD,-0.12086442426497705,Accepted
X_IONRAD,-0.15507211931215445,Accepted
X_IONRAD,-0.2017744767786986,Accepted
X_IONRAD,-0.20630447404874286,Accepted
X_IONRAD,-0.20721125673727556,Accepted
X_IONRAD,-0.21055808731464715,Accepted
X_IONRAD,-0.17009432449102538,Accepted
X_IONRAD,-0.15894425983833294,Accepted
X_IONRAD,-0.15644898378735936,Accepted
X_IONRAD,-0.18432948247682734,Accepted
X_IONRAD,-0.15874568569376046,Accepted
X_IONRAD,-0.1975119710884781,Accepted
X_IONRAD,-0.19331658015472095,Accepted
X_IONRAD,-0.13278940366361425,Accepted
X_IONRAD,-0.19095993182540047,Accepted
X_IONRAD,-0.14355974553186296,Accepted
X_IONRAD,-0.1812005238754792,Accepted
X_IONRAD,-0.19922496170922505,Accepted
X_IONRAD,-0.1173829504867001,Accepted
X_IONRAD,-0.1562114945435089,Accepted
X_IONRAD,-0.18320564628037825,Accepted
X_IONRAD,-0.13472677748018863,Accepted
X_IONRAD,-0.16469813635044728,Accepted
X_IONRAD,-0.26626244108003067,Accepted
X_IONRAD,-0.1837194621403444,Accepted
X_IONRAD,-0.15697692616626516,Accepted
X_IONRAD,-0.20285257092072495,Accepted
X_IONRAD,-0.2043446144502866,Accepted
X_IONRAD,-0.19956637206606473,Accepted
X_IONRAD,-0.1748541856850518,Accepted
X_IONRAD,-0.13508621391234985,Accepted
X_IONRAD,-0.170552423994383,Accepted
X_IONRAD,-0.2139233555847668,Accepted
X_IONRAD,-0.13362044934672962,Accepted
X_IONRAD,-0.23082825522028602,Accepted
X_IONRAD,-0.19301728097803766,Accepted
X_IONRAD,-0.24867524067831545,Accepted
X_IONRAD,-0.19015983611525025,Accepted
X_IONRAD,-0.1721416458124335,Accepted
X_IONRAD,-0.1968882179851799,Accepted
X_IONRAD,-0.20269842083075787,Accepted
X_IONRAD,-0.15936087419956765,Accepted
X_IONRAD,-0.2038530235110095,Accepted
X_IONRAD,-0.1221848308215071,Accepted
X_IONRAD,-0.18085218451637836,Accepted
X_IONRAD,-0.16786999753066498,Accepted
X_IONRAD,-0.22773970752045442,Accepted
X_IONRAD,-0.19654082051538316,Accepted
X_IONRAD,-0.1336732205532297,Accepted
X_IONRAD,-0.15207874544394617,Accepted
X_IONRAD,-0.1545644103644162,Accepted
X_IONRAD,-0.1706296237415784,Accepted
X_IONRAD,-0.10891723746850519,Accepted
X_IONRAD,-0.14491747767962748,Accepted
