UMAP1,UMAP2,Predicted Binding Energy
3.7989316,10.152167,15.21
3.945289,10.103491,12.2
2.1487253,10.577112,41.16
2.3619885,10.564308,32.06
2.7978675,10.5500345,24.14
3.4852736,10.31763,18.19
4.0964317,10.331507,14.21
4.2313924,10.199535,12.41
2.5080726,10.711601,38.4
2.6620722,10.73746,29.43
3.084582,10.6427145,22.06
3.884372,10.6242285,16.74
4.3382583,10.399509,14.43
4.512476,10.436423,12.63
2.6174178,10.710625,35.76
2.7983274,10.764268,26.79
3.2964177,10.790782,20.21
4.000455,10.645812,16.44
4.5037904,10.559875,14.64
4.646501,10.557158,13.07
1.2398378,10.254917,46.6
1.4461825,10.273253,37.34
1.9163471,10.234126,28.5
3.0243115,10.115203,21.97
3.4742103,10.064966,15.97
3.614902,10.069538,12.02
1.3381057,10.274859,43.7
1.573325,10.333504,34.44
2.0862916,10.340391,25.95
3.132005,10.228196,19.95
3.6219256,10.137457,14.35
3.698735,10.127374,11.14
1.7548722,10.415699,40.79
1.9254849,10.419378,31.54
2.4149628,10.447019,23.94
3.3541386,10.37756,17.94
3.8393688,10.364194,13.17
4.0810447,10.291032,10.73
2.2679398,10.689366,37.89
2.4662561,10.690579,28.89
2.9045599,10.67846,21.92
3.678074,10.5282755,16.18
4.193192,10.427639,12.74
4.406389,10.399363,10.94
2.5692878,10.746935,35.22
2.7841008,10.801838,26.5
3.225805,10.798967,19.94
4.0205393,10.700883,14.75
4.431296,10.5409355,12.95
4.6236944,10.523822,11.15
2.6931949,10.789127,32.59
2.888684,10.798831,24.27
3.3677218,10.891423,18.21
4.0730333,10.713697,14.97
4.570802,10.601229,13.17
4.7477736,10.578914,11.56
0.4249777,9.531066,65.48
0.5447409,9.551298,56.22
0.91402185,9.528609,47.1
1.8122909,9.484629,39.72
2.4993486,9.540414,33.45
2.7183025,9.493487,27.51
0.51406085,9.612013,62.57
0.62152666,9.655823,53.32
1.0531865,9.644691,44.41
1.9664733,9.624098,37.27
2.7746396,9.633545,31.3
2.8798053,9.635146,25.47
0.7221459,9.754078,59.67
0.9440036,9.789663,50.41
1.3363702,9.776968,41.72
2.3740091,9.740282,35.1
2.9848974,9.712996,29.27
3.1230986,9.680656,23.72
1.2226783,10.052174,56.77
1.4133251,10.045841,47.51
1.8180636,10.018472,39.15
2.6694093,9.898238,33.07
3.2603037,9.855627,27.29
3.469648,9.868407,22.1
1.5133678,10.171356,53.86
1.7266523,10.177045,44.71
2.3142736,10.180267,36.87
2.9957395,10.089793,31.03
3.6640756,10.034369,25.58
3.9398606,10.002763,21.56
1.7252071,10.223842,51.04
1.9050252,10.242744,42.07
2.4781868,10.245372,34.83
3.1453857,10.206599,29.11
3.810516,10.054371,24.63
3.960495,10.039294,21.14
0.53467613,9.67222,62.2
0.6469122,9.68585,52.95
1.0293262,9.592502,43.84
1.9402716,9.5303545,36.46
2.7086787,9.61322,29.99
2.866777,9.605714,24.15
0.61200404,9.746316,59.3
0.7491464,9.767918,50.04
1.1932948,9.764613,41.15
2.0548568,9.609437,33.81
2.773368,9.708417,27.94
2.9985123,9.7505,22.27
0.8832732,9.897092,56.4
1.042013,9.943663,47.14
1.5249279,9.938072,38.46
2.6615784,9.855713,31.74
3.1283798,9.873489,25.91
3.212098,9.809181,20.51
1.3127261,10.15579,53.49
1.5329303,10.194687,44.24
2.0343087,10.138919,35.99
2.8126326,10.046679,29.71
3.4274793,9.964909,24.09
3.6779146,10.005066,19.33
1.6679655,10.29252,50.59
1.8168482,10.261409,41.53
2.4432056,10.302243,33.57
3.0766478,10.24561,27.67
3.8608913,10.117372,22.51
3.9713874,10.142918,18.91
1.8848311,10.365192,47.87
2.0075402,10.331492,38.9
2.5582504,10.352327,31.47
