Halide1,Halide2,Halide3,Cl,Br,I,Cation,Formula,SOLVENT,Target,A_IONRAD,A_MASS,A_DPM,B_IONRAD,B_MASS,B_EA,B_IE,B_En,B_AN,X_IONRAD,X_MASS,X_EA,X_IE,X_En,X_AN,l0,l1,l2,l3,l4,l5,l6,l7,l8,l9,CATION_HATOMS,SOLV_DENSITY,SOLV_DIELECTRIC,SOLV_GDN,SOLV_DPM,SOLV_MV,SOLV_UMBO,DMSO,THTO,DMF,NMP,ACETONE,METHA,GBL,NITRO
I,Br,Br,0,0.666666667,0.333333333,Cs,IBrBrCs,DMSO,36.83,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.966666667,95.56666667,3.263333333,11.35966667,2.86,41,3.44E-01,-6.83E-01,-7.00E-01,-2.54E-01,8.86E-01,5.77E-01,-9.54E-01,-9.99E-01,9.68E-01,5.95E-01,0,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
Br,Br,Cl,0.333333333,0.666666667,0,FA,BrBrClFA,DMSO,36.74,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.91,65.08333333,3.449,12.19866667,3.026666667,29,1.28E-01,-5.08E-01,-4.74E-01,7.52E-01,4.49E-01,1.94E-01,9.53E-01,-9.46E-01,5.32E-01,9.85E-01,2,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
Br,Cl,Cl,0.666666667,0.333333333,0,FA,BrClClFA,DMSO,36.73,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.86,50.26666667,3.533,12.58333333,3.093333333,23,7.52E-02,1.01E-01,-5.82E-01,7.87E-01,4.31E-01,1.57E-01,9.11E-01,-9.33E-01,5.37E-01,9.90E-01,2,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,I,Br,0,0.333333333,0.666666667,MA,IIBrMA,THTO,36.45,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.973333333,111.2333333,3.161666667,10.90533333,2.76,47,2.92E-01,-2.34E-01,-5.43E-01,-6.53E-01,9.88E-01,3.74E-01,3.70E-01,-9.99E-01,-8.05E-01,5.76E-02,3,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
Br,Br,Cl,0.333333333,0.666666667,0,MA,BrBrClMA,DMSO,36.41,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.91,65.08333333,3.449,12.19866667,3.026666667,29,1.36E-01,-4.38E-01,-6.16E-01,6.79E-01,9.91E-01,3.70E-01,-5.72E-02,-9.98E-01,-8.16E-01,3.01E-01,3,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,Br,Br,0,0.666666667,0.333333333,Cs,IBrBrCs,THTO,36.41,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.966666667,95.56666667,3.263333333,11.35966667,2.86,41,3.44E-01,-6.83E-01,-7.00E-01,-2.54E-01,8.86E-01,5.77E-01,-9.54E-01,-9.99E-01,9.68E-01,5.95E-01,0,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,I,Cl,0.333333333,0,0.666666667,MA,IIClMA,DMSO,36.37,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.923333333,96.41666667,3.245666667,11.29,2.826666667,41,2.42E-01,4.00E-01,-6.40E-01,-6.01E-01,9.88E-01,3.41E-01,5.73E-02,-9.98E-01,-8.02E-01,2.27E-01,3,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
Br,Br,Cl,0.333333333,0.666666667,0,MA,BrBrClMA,THTO,36.32,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.91,65.08333333,3.449,12.19866667,3.026666667,29,1.36E-01,-4.38E-01,-6.16E-01,6.79E-01,9.91E-01,3.70E-01,-5.72E-02,-9.98E-01,-8.16E-01,3.01E-01,3,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,Br,Cl,0.333333333,0.333333333,0.333333333,FA,IBrClFA,THTO,36.1,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.916666667,80.75,3.347333333,11.74433333,2.926666667,35,1.82E-01,-1.12E-01,-4.89E-01,2.13E-01,3.85E-01,1.78E-01,9.58E-01,-9.47E-01,5.46E-01,9.84E-01,2,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
Br,Br,Br,0,1,0,MA,BrBrBrMA,DMSO,36.03,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.96,79.9,3.365,11.814,2.96,35,1.88E-01,-8.12E-01,-5.14E-01,6.31E-01,9.91E-01,4.03E-01,2.68E-01,-9.99E-01,-8.18E-01,1.36E-01,3,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
